Date,Open,High,Low,Close,Adj Close,Volume
2019-03-26,29300.400391,29950.150391,29278.500000,29882.150391,29882.150391,0
2019-03-27,30034.150391,30262.550781,29790.250000,30019.800781,30019.800781,0
2019-03-28,30064.800781,30496.050781,29969.099609,30420.550781,30420.550781,0
2019-04-01,30537.599609,30648.099609,30218.349609,30326.500000,30326.500000,0
2019-04-02,30450.099609,30452.900391,30155.849609,30354.250000,30354.250000,0
2019-04-03,30440.849609,30602.550781,30036.250000,30093.300781,30093.300781,0
2019-04-04,30147.300781,30245.699219,29809.900391,29904.900391,29904.900391,0
2019-04-05,30002.849609,30174.000000,29850.000000,30084.650391,30084.650391,0
2019-04-08,30201.500000,30232.050781,29716.599609,29845.300781,29845.300781,0
2019-04-09,29901.500000,30165.050781,29703.550781,30113.849609,30113.849609,0
2019-04-10,29916.599609,30155.750000,29768.099609,29803.500000,29803.500000,0
2019-04-11,29841.849609,29852.250000,29640.250000,29786.099609,29786.099609,0
2019-04-12,29780.550781,30000.949219,29707.000000,29938.550781,29938.550781,0
2019-04-15,29983.500000,30163.099609,29919.099609,30104.250000,30104.250000,0
2019-04-16,30236.250000,30590.949219,30228.199219,30531.349609,30531.349609,0
2019-04-18,30656.500000,30669.800781,30142.199219,30223.400391,30223.400391,0
2019-04-22,30282.500000,30289.900391,29647.550781,29687.949219,29687.949219,0
2019-04-23,29761.949219,29906.500000,29455.449219,29479.699219,29479.699219,0
2019-04-24,29550.500000,29914.849609,29435.050781,29860.800781,29860.800781,0
2019-04-25,29927.050781,30057.699219,29511.949219,29561.349609,29561.349609,0
2019-04-26,29764.849609,30048.199219,29563.150391,30013.500000,30013.500000,0
2019-04-30,29920.400391,29920.400391,29550.050781,29764.800781,29764.800781,0
2019-05-02,29699.800781,29919.349609,29638.800781,29708.599609,29708.599609,0
2019-05-03,29811.650391,30121.750000,29795.099609,29954.150391,29954.150391,0
2019-05-06,29626.500000,29757.400391,29528.599609,29618.449219,29618.449219,0
2019-05-07,29749.550781,29835.500000,29244.250000,29288.199219,29288.199219,0
2019-05-08,29261.300781,29261.300781,28951.349609,28994.400391,28994.400391,0
2019-05-09,28893.949219,29040.300781,28784.650391,28884.599609,28884.599609,0
2019-05-10,28927.599609,29202.849609,28900.099609,29040.500000,29040.500000,0
2019-05-13,29026.650391,29049.050781,28621.099609,28659.949219,28659.949219,0
2019-05-14,28718.750000,29058.300781,28582.599609,28829.199219,28829.199219,0
2019-05-15,28925.449219,28983.150391,28555.150391,28616.449219,28616.449219,0
2019-05-16,28625.900391,28947.599609,28525.449219,28855.300781,28855.300781,0
2019-05-17,28881.400391,29559.449219,28856.000000,29450.150391,29450.150391,0
2019-05-20,30230.400391,30827.849609,30111.199219,30759.699219,30759.699219,0
2019-05-21,30862.099609,30926.699219,30265.099609,30308.400391,30308.400391,0
2019-05-22,30410.650391,30675.099609,30268.599609,30526.800781,30526.800781,0
2019-05-23,30962.800781,31705.000000,30292.349609,30409.099609,30409.099609,0
2019-05-24,30685.500000,31275.400391,30564.400391,31212.550781,31212.550781,0
2019-05-27,31234.900391,31700.750000,31142.500000,31647.650391,31647.650391,232000
2019-05-28,31711.300781,31712.400391,31328.599609,31597.900391,31597.900391,0
2019-05-29,31459.250000,31546.750000,31257.900391,31295.550781,31295.550781,0
2019-05-30,31256.849609,31619.250000,31236.099609,31537.099609,31537.099609,0
2019-05-31,31678.900391,31783.599609,30623.050781,31375.400391,31375.400391,0
2019-06-03,31406.050781,31674.599609,31284.699219,31653.650391,31653.650391,0
2019-06-04,31532.900391,31752.699219,31512.949219,31589.050781,31589.050781,0
2019-06-06,31523.949219,31541.500000,30800.800781,30857.400391,30857.400391,274600
2019-06-07,30943.150391,31139.599609,30627.050781,31066.550781,31066.550781,0
2019-06-10,31259.199219,31367.400391,30861.300781,31034.000000,31034.000000,0
2019-06-11,31172.250000,31399.349609,30973.349609,31265.449219,31265.449219,0
2019-06-12,31219.300781,31222.300781,30911.449219,30965.699219,30965.699219,0
2019-06-13,30876.750000,31036.900391,30638.250000,30976.099609,30976.099609,0
2019-06-14,30983.449219,31032.650391,30508.949219,30614.349609,30614.349609,0
